unit	exit	seconds	findings_lines	dirty	banner
man-page:datetime/addDays	0	120	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/add	0	135	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/types	0	148	40	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/overview	0	148	47	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/civil	0	102	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/addMonths	0	154	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/between	0	162	14	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/compare	0	149	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/date	0	114	2	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/daysInMonth	0	97	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/dayOfYear	0	127	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/equals	0	119	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/duration	0	192	47	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/fixedOffset	0	129	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/format	0	169	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/formatDuration	0	97	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/fromMillis	0	132	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/isAfter	FAILED	0	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/inZone	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/instant	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/isBefore	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/isLeapYear	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/local	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/localOffset	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/minus	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/monotonicNanos	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/monotonic	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/negate	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/now	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/nowNanos	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/offsetAt	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/parseIso	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/parse	FAILED	4	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/plus	FAILED	2	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/resolve	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/startOfDay	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/subtract	FAILED	12	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/isBefore	0	108	21	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/inZone	0	114	6	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/isAfter	0	119	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/instant	0	131	33	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/isLeapYear	0	113	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/local	0	126	7	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/localOffset	0	132	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/minus	0	143	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/monotonicNanos	0	79	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/nowNanos	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/monotonic	0	124	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/now	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/offsetAt	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/negate	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/parse	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/parseIso	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/plus	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/startOfDay	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/resolve	FAILED	4	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/now	0	85	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/negate	0	96	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/nowNanos	0	104	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/offsetAt	0	119	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/parseIso	0	131	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/parse	0	147	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/resolve	0	154	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/plus	0	187	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/time	0	109	2	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/startOfDay	0	178	33	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/subtract	0	173	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/toIso	0	209	33	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/toMillis	0	115	5	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/toLocal	0	139	6	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/toNanos	0	137	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/utc	0	94	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/withZone	0	136	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/weekday	0	166	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:datetime/toUtc	0	251	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
